Order ID,Customer ID,Order Date,Ship Date,Region,Segment,Category,Sub-Category,Product Name,Sales,Profit_Margin,Profit
ca-2017-152156,cg-12520,2017-11-08,2017-11-11,south,consumer,furniture,bookcases,bush somerset collection bookcase,261.96,0.08,20.96
ca-2017-152156,cg-12520,2017-11-08,2017-11-11,south,consumer,furniture,chairs,"hon deluxe fabric upholstered stacking chairs, rounded back",731.94,0.08,58.56
ca-2017-138688,dv-13045,2017-06-12,2017-06-16,west,corporate,office supplies,labels,self-adhesive address labels for typewriters by universal,14.62,0.25,3.66
us-2016-108966,so-20335,2016-10-11,2016-10-18,south,consumer,furniture,tables,bretford cr4500 series slim rectangular table,957.5775,0.08,76.61
us-2016-108966,so-20335,2016-10-11,2016-10-18,south,consumer,office supplies,storage,eldon fold 'n roll cart system,22.368,0.25,5.59
ca-2015-115812,bh-11710,2015-06-09,2015-06-14,west,consumer,furniture,furnishings,"eldon expressions wood and plastic desk accessories, cherry wood",48.86,0.08,3.91
ca-2015-115812,bh-11710,2015-06-09,2015-06-14,west,consumer,office supplies,art,newell 322,7.28,0.25,1.82
ca-2015-115812,bh-11710,2015-06-09,2015-06-14,west,consumer,technology,phones,mitel 5320 ip phone voip phone,907.152,0.15,136.07
ca-2015-115812,bh-11710,2015-06-09,2015-06-14,west,consumer,office supplies,binders,dxl angle-view binders with locking rings by samsill,18.504,0.25,4.63
ca-2015-115812,bh-11710,2015-06-09,2015-06-14,west,consumer,office supplies,appliances,belkin f5c206vtel 6 outlet surge,114.9,0.25,28.72
ca-2015-115812,bh-11710,2015-06-09,2015-06-14,west,consumer,furniture,tables,chromcraft rectangular conference tables,1706.184,0.08,136.49
ca-2015-115812,bh-11710,2015-06-09,2015-06-14,west,consumer,technology,phones,konftel 250 conference phone - charcoal black,911.424,0.15,136.71
ca-2018-114412,aa-10480,2018-04-15,2018-04-20,south,consumer,office supplies,paper,xerox 1967,15.552,0.25,3.89
ca-2017-161389,im-15070,2017-12-05,2017-12-10,west,consumer,office supplies,binders,fellowes pb200 plastic comb binding machine,407.976,0.25,101.99
us-2016-118983,hp-14815,2016-11-22,2016-11-26,central,home office,office supplies,appliances,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",68.81,0.25,17.2
us-2016-118983,hp-14815,2016-11-22,2016-11-26,central,home office,office supplies,binders,storex duratech recycled plastic frosted binders,2.544,0.25,0.64
ca-2015-105893,pk-19075,2015-11-11,2015-11-18,central,consumer,office supplies,storage,"stur-d-stor shelving, vertical 5-shelf: 72""h x 36""w x 18 1/2""d",665.88,0.25,166.47
ca-2015-167164,ag-10270,2015-05-13,2015-05-15,west,consumer,office supplies,storage,fellowes super stor/drawer,55.5,0.25,13.88
ca-2015-143336,zd-21925,2015-08-27,2015-09-01,west,consumer,office supplies,art,newell 341,8.56,0.25,2.14
ca-2015-143336,zd-21925,2015-08-27,2015-09-01,west,consumer,technology,phones,cisco spa 501g ip phone,213.48,0.15,32.02
ca-2015-143336,zd-21925,2015-08-27,2015-09-01,west,consumer,office supplies,binders,"wilson jones hanging view binder, white, 1""",22.72,0.25,5.68
ca-2017-137330,kb-16585,2017-12-09,2017-12-13,central,corporate,office supplies,art,newell 318,19.46,0.25,4.86
ca-2017-137330,kb-16585,2017-12-09,2017-12-13,central,corporate,office supplies,appliances,"acco six-outlet power strip, 4' cord length",60.34,0.25,15.08
us-2018-156909,sf-20065,2018-07-16,2018-07-18,east,consumer,furniture,chairs,"global deluxe stacking chair, gray",71.372,0.08,5.71
ca-2016-106320,eb-13870,2016-09-25,2016-09-30,west,consumer,furniture,tables,bretford cr4500 series slim rectangular table,1044.63,0.08,83.57
ca-2017-121755,eh-13945,2017-01-16,2017-01-20,west,consumer,office supplies,binders,wilson jones active use binders,11.648,0.25,2.91
ca-2017-121755,eh-13945,2017-01-16,2017-01-20,west,consumer,technology,accessories,imation 8gb mini traveldrive usb 2.0 flash drive,90.57,0.15,13.59
us-2016-150630,tb-21520,2016-09-17,2016-09-21,east,consumer,furniture,bookcases,"riverside palais royal lawyers bookcase, royale cherry finish",3083.43,0.08,246.67
us-2016-150630,tb-21520,2016-09-17,2016-09-21,east,consumer,office supplies,binders,avery recycled flexi-view covers for binding systems,9.618,0.25,2.4
us-2016-150630,tb-21520,2016-09-17,2016-09-21,east,consumer,furniture,furnishings,"howard miller 13-3/4"" diameter brushed chrome round wall clock",124.2,0.08,9.94
us-2016-150630,tb-21520,2016-09-17,2016-09-21,east,consumer,office supplies,envelopes,poly string tie envelopes,3.264,0.25,0.82
us-2016-150630,tb-21520,2016-09-17,2016-09-21,east,consumer,office supplies,art,"boston model 1800 electric pencil sharpeners, putty/woodgrain",86.304,0.25,21.58
us-2016-150630,tb-21520,2016-09-17,2016-09-21,east,consumer,office supplies,binders,"acco pressboard covers with storage hooks, 14 7/8"" x 11"", executive red",6.858,0.25,1.71
us-2016-150630,tb-21520,2016-09-17,2016-09-21,east,consumer,office supplies,art,lumber crayons,15.76,0.25,3.94
ca-2018-107727,ma-17560,2018-10-19,2018-10-23,central,home office,office supplies,paper,easy-staple paper,29.472,0.25,7.37
ca-2017-117590,gh-14485,2017-12-08,2017-12-10,central,corporate,technology,phones,ge 30524ee4,1097.544,0.15,164.63
ca-2017-117590,gh-14485,2017-12-08,2017-12-10,central,corporate,furniture,furnishings,"electrix architect's clamp-on swing arm lamp, black",190.92,0.08,15.27
ca-2016-117415,sn-20710,2016-12-27,2016-12-31,central,home office,office supplies,envelopes,"#10-4 1/8"" x 9 1/2"" premium diagonal seam envelopes",113.328,0.25,28.33
ca-2016-117415,sn-20710,2016-12-27,2016-12-31,central,home office,furniture,bookcases,"atlantic metals mobile 3-shelf bookcases, custom colors",532.3992,0.08,42.59
ca-2016-117415,sn-20710,2016-12-27,2016-12-31,central,home office,furniture,chairs,"global fabric manager's chair, dark gray",212.058,0.08,16.96
ca-2016-117415,sn-20710,2016-12-27,2016-12-31,central,home office,technology,phones,plantronics hl10 handset lifter,371.168,0.15,55.68
ca-2018-120999,lc-16930,2018-09-10,2018-09-15,central,corporate,technology,phones,panasonic kx-ts550,147.168,0.15,22.08
